Groups:

Data:
time unit: ps, TCK, TMS, TDI_jtag, TDO_jtag, trigger, state_led1, 
0, X, X, X, X, X, X, 
13333, 1, 1, 0, 1, 0, 1, 
26666, 1, 1, 0, 1, 0, 1, 
39999, 1, 1, 0, 1, 0, 1, 
53332, 1, 1, 0, 1, 0, 1, 
66665, 1, 1, 0, 1, 0, 1, 
79998, 1, 1, 0, 1, 0, 1, 
93331, 1, 1, 0, 1, 0, 1, 
106664, 1, 1, 0, 1, 0, 1, 
119997, 1, 1, 0, 1, 0, 1, 
133330, 1, 1, 0, 1, 0, 1, 
146663, 1, 1, 0, 1, 0, 1, 
159996, 1, 1, 0, 1, 0, 1, 
173329, 1, 1, 0, 1, 0, 1, 
186662, 1, 1, 0, 1, 0, 1, 
199995, 1, 1, 0, 1, 0, 1, 
213328, 1, 1, 0, 1, 0, 1, 
226661, 1, 1, 0, 1, 0, 1, 
239994, 1, 1, 0, 1, 0, 1, 
253327, 1, 1, 0, 1, 0, 1, 
266660, 1, 1, 0, 1, 0, 1, 
279993, 1, 1, 0, 1, 0, 1, 
293326, 1, 1, 0, 1, 0, 1, 
306659, 1, 1, 0, 1, 0, 1, 
319992, 1, 1, 0, 1, 0, 1, 
333325, 1, 1, 0, 1, 0, 1, 
346658, 1, 1, 0, 1, 0, 1, 
359991, 1, 1, 0, 1, 0, 1, 
373324, 1, 1, 0, 1, 0, 1, 
386657, 1, 1, 0, 1, 0, 1, 
399990, 1, 1, 0, 1, 0, 1, 
413323, 1, 1, 0, 1, 0, 1, 
426656, 1, 1, 0, 1, 0, 1, 
439989, 1, 1, 0, 1, 0, 1, 
453322, 1, 1, 0, 1, 0, 1, 
466655, 1, 1, 0, 1, 0, 1, 
479988, 1, 1, 0, 1, 0, 1, 
493321, 1, 1, 0, 1, 0, 1, 
506654, 1, 1, 0, 1, 0, 1, 
519987, 1, 1, 0, 1, 0, 1, 
533320, 1, 1, 0, 1, 0, 1, 
546653, 1, 1, 0, 1, 0, 1, 
559986, 1, 1, 0, 1, 0, 1, 
573319, 1, 1, 0, 1, 0, 1, 
586652, 1, 1, 0, 1, 0, 1, 
599985, 1, 1, 0, 1, 0, 1, 
613318, 1, 1, 0, 1, 0, 1, 
626651, 1, 1, 0, 1, 0, 1, 
639984, 1, 1, 0, 1, 0, 1, 
653317, 1, 1, 0, 1, 0, 1, 
666650, 1, 1, 0, 1, 0, 1, 
679983, 1, 1, 0, 1, 0, 1, 
693316, 1, 1, 0, 1, 0, 1, 
706649, 1, 1, 0, 1, 0, 1, 
719982, 1, 1, 0, 1, 0, 1, 
733315, 1, 1, 0, 1, 0, 1, 
746648, 1, 1, 0, 1, 0, 1, 
759981, 1, 1, 0, 1, 0, 1, 
773314, 1, 1, 0, 1, 0, 1, 
786647, 1, 1, 0, 1, 0, 1, 
799980, 1, 1, 0, 1, 0, 1, 
813313, 1, 1, 0, 1, 0, 1, 
826646, 1, 1, 0, 1, 0, 1, 
839979, 1, 1, 0, 1, 0, 1, 
853312, 1, 1, 0, 1, 0, 1, 
866645, 1, 1, 0, 1, 0, 1, 
879978, 1, 1, 0, 1, 0, 1, 
893311, 1, 1, 0, 1, 0, 1, 
906644, 1, 1, 0, 1, 0, 1, 
919977, 1, 1, 0, 1, 0, 1, 
933310, 1, 1, 0, 1, 0, 1, 
946643, 1, 1, 0, 1, 0, 1, 
959976, 1, 1, 0, 1, 0, 1, 
973309, 1, 1, 0, 1, 0, 1, 
986642, 1, 1, 0, 1, 0, 1, 
999975, 1, 1, 0, 1, 0, 1, 
1013308, 1, 1, 0, 1, 0, 1, 
1026641, 1, 1, 0, 1, 0, 1, 
1039974, 1, 1, 0, 1, 0, 1, 
1053307, 1, 1, 0, 1, 0, 1, 
1066640, 1, 1, 0, 1, 0, 1, 
1079973, 1, 1, 0, 1, 0, 1, 
1093306, 1, 1, 0, 1, 0, 1, 
1106639, 1, 1, 0, 1, 0, 1, 
1119972, 1, 1, 0, 1, 0, 1, 
1133305, 1, 1, 0, 1, 0, 1, 
1146638, 1, 1, 0, 1, 0, 1, 
